recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_000_1011,online,0.0,0,0,0.2471098265895953,0.0855812459858702,0.0208734746307,0.140655105973025,0.6880291074247084,0.1581986143187067,0.1716178241670012,0.0828516377649325,3.0,3.0,0.0,0.0,0.0,0.0,0.0,233.0,0.8725490196078431,60.0,0.0903361344537815,0.0634957000147551,0.028261300001759,0.1078415000229142,0.0017973583337152,1.0
test_000_1012,online,0.0,0,0,0.5210148250038209,0.1242549289316827,0.0221610881858474,0.3745988078862907,0.8962951715760705,0.5277161862527716,0.4891041162227603,0.1208925569310713,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,235.0,0.5106382978723404,60.0,0.1375173852573018,0.046841300005326,0.0493276000197511,0.1113235000229906,0.0018553916670498,1.0
test_000_1013,online,0.0,0,0,0.313474194665743,0.0481468652580533,0.0223415310010391,0.2429857984066505,0.6251963710698937,0.2916190476190476,0.2339965397923875,0.0453758226532732,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,225.0,0.7307692307692307,60.0,0.047532656023222,0.0600494999962393,0.0275018000102136,0.1035317000059876,0.0017255283334331,1.0
test_000_1014,online,0.0,0,0,0.3140771306141882,0.0968100301539438,0.0172988414537375,0.1999682590065069,0.6259881109974905,0.2338678138443488,0.1876142595978062,0.094588160609427,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,232.0,0.8134715025906736,60.0,0.1035933391761612,0.0496761999966111,0.0476959999941755,0.1136108999780844,0.0018935149996347,1.0
test_000_1015,online,0.0,0,0,0.1991849210392256,0.0485651214128035,0.0249617931737137,0.1256580064527084,0.2025791646313511,0.1569540122882144,0.1007604562737642,0.0439803022584479,3.0,5.0,2.0,0.0,0.0,0.0,0.0,230.0,0.8732394366197183,60.0,0.0460035523978685,0.0525621999986469,0.0318119000003207,0.0977046000189147,0.0016284100003152,1.0
test_000_1016,online,0.0,0,0,0.2766097240473061,0.0905059132720105,0.0226675427069645,0.1634362680683311,0.3584245881137854,0.2250589159465828,0.1578947368421052,0.0818002628120893,4.0,5.0,1.0,0.0,0.0,0.0,0.0,227.0,0.8190954773869347,60.0,0.089087656529517,0.0632103999960236,0.0259372000000439,0.1040722999896388,0.0017345383331606,1.0
test_000_1017,online,0.0,0,0,0.2913787430075683,0.0771635406383678,0.02319842053307,0.1910167818361303,0.4025163771439184,0.2443464929091606,0.1659634317862166,0.0707469562356038,4.0,5.0,1.0,0.0,0.0,0.0,0.0,230.0,0.81,60.0,0.0761331444759206,0.0576387000037357,0.0314979999966453,0.106357000011485,0.001772616666858,1.0
test_000_1018,online,0.0,0,0,0.3218965517241379,0.0667241379310344,0.0236206896551724,0.231551724137931,0.3249632806896381,0.2773851590106007,0.1490264603095357,0.0608620689655172,2.0,4.0,2.0,0.0,0.0,0.0,0.0,222.0,0.765,60.0,0.0648063154029741,0.061218299990287,0.0261033999850042,0.1025998999830335,0.0017099983330505,1.0
test_000_1019,online,0.0,0,0,0.3521344076804388,0.0560603463055031,0.0204011657809017,0.2756728955940339,0.8024396765123545,0.3021090632718982,0.278346377684126,0.0488599348534201,4.0,4.0,0.0,0.0,0.0,0.0,0.0,225.0,0.7238095238095238,60.0,0.0513698630136986,0.0529851999890524,0.0271152000059373,0.0959519000025466,0.0015991983333757,1.0
test_000_1020,online,0.0,0,0,0.5105811219348337,0.0935505542492442,0.0298958683238159,0.3871346993617736,0.7316657415898802,0.4836363636363636,0.4082636497786522,0.0843130668458179,4.0,5.0,1.0,0.0,0.0,0.0,0.0,223.0,0.5602094240837696,60.0,0.0920763022743947,0.047512099990854,0.0290899999963585,0.0944413999968674,0.0015740233332811,1.0
test_000_1021,online,0.0,0,0,0.423462783171521,0.1111650485436893,0.0132686084142394,0.2990291262135922,0.6744653863893639,0.3730350665054414,0.3545433200281756,0.0985436893203883,5.0,5.0,0.0,0.0,0.0,0.0,0.0,223.0,0.6756756756756757,60.0,0.1093161012385568,0.0456665999954566,0.0254895999969448,0.0864289999881293,0.0014404833331354,1.0
test_000_1022,online,0.0,0,0,0.6283459162663007,0.0427247769389155,0.0250514756348661,0.5605696636925189,0.994040523962607,0.6325884543761638,0.5883376849434291,0.039293067947838,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,229.0,0.3933649289099526,60.0,0.0409001607429898,0.1723638999974355,0.0278590000234544,0.2141037000401411,0.003568395000669,1.0
test_000_1023,online,0.0,0,0,0.6071146245059289,0.1141501976284585,0.0232411067193675,0.4697233201581027,1.102180962421979,0.5643483581480726,0.5222537878787878,0.1124110671936758,5.0,2.0,-3.0,0.0,0.0,0.0,0.0,230.0,0.4810810810810811,60.0,0.1266476665479159,0.0614600999979302,0.0255818000005092,0.100855099997716,0.0016809183332952,1.0
test_000_1000,online,250.0,0,1,0.2096312510523657,0.0756019531907728,0.0227310995117023,0.1112981983498905,0.3756602828481765,0.163905671409082,0.1293630017452007,0.0680249200202054,3.0,3.0,0.0,250.0,250.0,250.0,250.0,225.0,0.8743718592964824,60.0,0.0729900632339656,0.093921899999259,0.0361898000119254,0.1454500000108964,0.0024241666668482,1.968888888888889
test_000_1001,online,250.0,0,1,0.2463846710050614,0.064172089660159,0.0448300795372378,0.1373825018076645,0.3432703539440095,0.2002823719241629,0.0725629791894852,0.051879971077368,3.0,4.0,1.0,250.0,250.0,250.0,250.0,217.0,0.8686868686868687,60.0,0.0547187797902764,0.0523322999943047,0.033958399988478,0.1012680999992881,0.0016878016666548,1.9308755760368663
test_000_1002,online,250.0,0,1,0.502973067506121,0.0431969220006995,0.0269324938789786,0.4328436516264428,0.9543603358301898,0.4909876079609463,0.4264507422402159,0.0342777194823364,3.0,3.0,0.0,250.0,250.0,250.0,250.0,225.0,0.5523809523809524,60.0,0.0354943860919956,0.0561565999814774,0.0458690999948885,0.1169733999704476,0.0019495566661741,1.9644444444444444
test_000_1003,online,250.0,0,1,0.3062226117440841,0.0255915863277826,0.024715162138475,0.2559158632778264,0.5476120847544484,0.2880484670460804,0.2341891045710707,0.0226117440841367,5.0,5.0,0.0,250.0,250.0,250.0,250.0,228.0,0.7397260273972602,60.0,0.0231348637015781,0.0719190000090748,0.0424356000148691,0.1314757000072859,0.002191261666788,1.9649122807017545
test_000_1004,online,250.0,0,1,0.4936548223350254,0.1153236040609137,0.0115799492385786,0.366751269035533,0.8718690801986224,0.470061099796334,0.4558129558129558,0.1105647208121827,4.0,4.0,0.0,250.0,250.0,250.0,250.0,226.0,0.5425531914893617,60.0,0.1243088995897984,0.0886241999978665,0.0381621999840717,0.1424196999869309,0.0023736616664488,1.9690265486725664
test_000_1005,online,250.0,0,1,0.2802927161334241,0.0660313138189244,0.0233151803948264,0.1909462219196732,0.7351671280005393,0.2489499809087438,0.1818796484110885,0.05428863172226,5.0,5.0,0.0,250.0,250.0,250.0,250.0,225.0,0.806930693069307,60.0,0.057405074680583,0.0517315000179223,0.0491861999907996,0.1148730000131763,0.0019145500002196,1.96
test_000_1006,online,250.0,0,1,0.2175221534860391,0.0822604915565958,0.018558769436549,0.1167028924928941,0.3429076920187793,0.1594430280447146,0.0766319772942289,0.0737334893830463,5.0,6.0,1.0,250.0,250.0,250.0,250.0,224.0,0.8917525773195877,60.0,0.0796028880866425,0.0731563000008463,0.0373064000159502,0.1247053000261075,0.0020784216671017,1.9598214285714288
test_000_1007,online,250.0,0,1,0.3429404700634757,0.0718819694630296,0.0283067421513124,0.2427517584491336,0.565391342524731,0.31946361664366,0.2803153257593322,0.0650197289414994,2.0,3.0,1.0,250.0,250.0,250.0,250.0,223.0,0.725,60.0,0.0695412844036697,0.1062560999998822,0.0471587000065483,0.1726705000037327,0.0028778416667288,1.9417040358744395
test_000_1008,online,250.0,0,1,0.0925445424667012,0.0477426050856253,0.0164331430548348,0.0283687943262411,0.1241546434802087,0.0568203198494825,0.013272410791993,0.0403044455976474,2.0,2.0,0.0,250.0,250.0,250.0,250.0,224.0,0.9760765550239234,60.0,0.0419971160778658,0.0675784999912139,0.0503141999943181,0.1343158999807201,0.002238598333012,1.9642857142857144
test_000_1009,online,250.0,0,1,0.5113471752776436,0.0928697891517785,0.0143248028327699,0.4041525832930951,0.9478640044155554,0.4694115362206253,0.4522613065326633,0.0856269113149847,3.0,2.0,-1.0,250.0,250.0,250.0,250.0,229.0,0.5492227979274611,60.0,0.0936454849498327,0.0538776000030338,0.0415591999772004,0.1120228999934624,0.0018670483332243,1.9781659388646289
test_000_1010,online,250.0,0,1,0.4498427123383432,0.0527787486892694,0.018350227193289,0.3787137364557847,0.7914789419946772,0.4424980959634425,0.4109500108201688,0.0410695560992659,5.0,5.0,0.0,250.0,250.0,250.0,250.0,221.0,0.5845410628019324,60.0,0.0428285037361035,0.0709782000049017,0.0373638000164646,0.1228460000129416,0.002047433333549,1.95475113122172
test_000_1011,online,250.0,0,1,0.2530507385998715,0.0855812459858702,0.0208734746307,0.1465960179833012,0.7892887051953923,0.1630100076982294,0.1700120433560819,0.0828516377649325,3.0,3.0,0.0,250.0,250.0,250.0,250.0,233.0,0.8578431372549019,60.0,0.0903361344537815,0.37964239998837,0.0510233999812044,0.4451893999648746,0.0074198233327479,1.9742489270386263
test_000_1012,online,250.0,0,1,0.5210148250038209,0.1242549289316827,0.0221610881858474,0.3745988078862907,0.8962951715760705,0.5277161862527716,0.4891041162227603,0.1208925569310713,2.0,1.0,-1.0,250.0,250.0,250.0,250.0,235.0,0.5106382978723404,60.0,0.1375173852573018,0.2941159000038169,0.0687763000023551,0.3859863000106998,0.0064331050001783,1.987234042553192
test_000_1013,online,250.0,0,1,0.1413231728437824,0.0481468652580533,0.0223415310010391,0.0708347765846899,0.4809366503692779,0.1024761904761904,0.0521193771626297,0.0453758226532732,5.0,4.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.9278846153846154,60.0,0.047532656023222,1.1665520000096876,0.157506400020793,1.3420466000388842,0.0223674433339814,1.96
test_000_1014,online,250.0,0,1,0.2323440723694651,0.0968100301539438,0.0172988414537375,0.1182352007617838,0.5808719328384888,0.1343371138052405,0.0690127970749543,0.094588160609427,5.0,5.0,0.0,250.0,250.0,250.0,250.0,232.0,0.922279792746114,60.0,0.1035933391761612,1.418949700018857,0.0989251999999396,1.5382032000343315,0.0256367200005721,1.9655172413793105
test_000_1015,online,250.0,0,1,0.1635252165053489,0.0485651214128035,0.0249617931737137,0.0899983019188317,0.1617445202001035,0.1232545149878979,0.04900718208703,0.0439803022584479,3.0,5.0,2.0,250.0,250.0,250.0,250.0,230.0,0.9154929577464788,60.0,0.0460035523978685,0.189565999986371,0.0441660999786108,0.2516583999677095,0.0041943066661284,1.9695652173913043
test_000_1016,online,250.0,0,1,0.2178055190538765,0.0905059132720105,0.0226675427069645,0.1046320630749014,0.2378498914667207,0.1510212097407698,0.0868980963045912,0.0818002628120893,4.0,6.0,2.0,250.0,250.0,250.0,250.0,227.0,0.8944723618090452,60.0,0.089087656529517,0.1258004999835975,0.0628257999778725,0.2056004999612923,0.0034266749993548,1.960352422907489
test_000_1017,online,250.0,0,1,0.3183613030602171,0.0771635406383678,0.02319842053307,0.2179993418887792,0.3576303556122517,0.2650440781908777,0.1718237224566338,0.0707469562356038,4.0,7.0,3.0,250.0,250.0,250.0,250.0,230.0,0.79,60.0,0.0761331444759206,0.3704282999970019,0.0369392000138759,0.4228829000203404,0.0070480483336723,1.965217391304348
test_000_1018,online,250.0,0,1,0.2782758620689655,0.0667241379310344,0.0236206896551724,0.1879310344827586,0.2808734724862017,0.2147624656458578,0.0823764353469795,0.0608620689655172,2.0,3.0,1.0,250.0,250.0,250.0,250.0,222.0,0.83,60.0,0.0648063154029741,0.1703069999930448,0.0359530000132508,0.2217089000041596,0.0036951483334026,1.954954954954955
test_000_1019,online,250.0,0,1,0.3627635864906566,0.0560603463055031,0.0204011657809017,0.2863020744042516,0.7167101017622238,0.3138894166825005,0.3008227975115392,0.0488599348534201,4.0,3.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.7142857142857143,60.0,0.0513698630136986,0.0557924000022467,0.0351315999869257,0.106144299992593,0.0017690716665432,1.96
test_000_1020,online,250.0,0,1,0.3370843130668458,0.0935505542492442,0.0298958683238159,0.2136378904937857,0.5997059355497695,0.2905050505050505,0.1827348745696015,0.0843130668458179,4.0,4.0,0.0,250.0,250.0,250.0,250.0,223.0,0.7591623036649214,60.0,0.0920763022743947,0.0476392999989911,0.0356800000008661,0.0982506000145804,0.001637510000243,1.9506726457399104
test_000_1021,online,250.0,0,1,0.3035598705501618,0.1111650485436893,0.0132686084142394,0.179126213592233,0.427095785190209,0.2249093107617896,0.2202394928386945,0.0985436893203883,5.0,6.0,1.0,250.0,250.0,250.0,250.0,223.0,0.8216216216216217,60.0,0.1093161012385568,0.0592400000023189,0.0410757000208832,0.1150542000250425,0.0019175700004173,1.9641255605381165
test_000_1022,online,250.0,0,1,0.601063829787234,0.0427247769389155,0.0250514756348661,0.5332875772134523,1.045066851952053,0.5776536312849162,0.5498259355961705,0.039293067947838,5.0,3.0,-2.0,250.0,250.0,250.0,250.0,229.0,0.4644549763033175,60.0,0.0409001607429898,0.1384554999822285,0.0401425000163726,0.1955976999888662,0.0032599616664811,1.9694323144104804
test_000_1023,online,250.0,0,1,0.5615810276679842,0.1141501976284585,0.0232411067193675,0.4241897233201581,0.9943697731006884,0.5151947787069141,0.4533617424242424,0.1124110671936758,5.0,3.0,-2.0,250.0,250.0,250.0,250.0,230.0,0.5297297297297298,60.0,0.1266476665479159,0.0903845999855548,0.0353005999932065,0.1397285999846644,0.0023288099997444,1.9739130434782608
test_000_1000,online,500.0,0,2,0.1542347196497727,0.0756019531907728,0.0227310995117023,0.0559016669472975,0.1728375834219192,0.076008575326447,0.0660994764397905,0.0680249200202054,3.0,4.0,1.0,500.0,500.0,500.0,500.0,225.0,0.964824120603015,60.0,0.0729900632339656,0.1066017000121064,0.0862341999891214,0.2074664000247139,0.0034577733337452,2.9066666666666667
test_000_1001,online,500.0,0,2,0.2033622559652928,0.064172089660159,0.0448300795372378,0.0943600867678958,0.2575763399225652,0.1492537313432835,0.0254654983570646,0.051879971077368,3.0,5.0,2.0,500.0,500.0,500.0,500.0,217.0,0.914141414141414,60.0,0.0547187797902764,0.2247892000013962,0.0926372999965678,0.3321676999912597,0.0055361283331876,2.774193548387097
test_000_1002,online,500.0,0,2,0.4942287513116474,0.0431969220006995,0.0269324938789786,0.4240993354319692,0.9400397019591024,0.481599699586932,0.4192532613585245,0.0342777194823364,3.0,3.0,0.0,500.0,500.0,500.0,500.0,225.0,0.5619047619047619,60.0,0.0354943860919956,0.1863731000048574,0.0436893999867606,0.2458970999869052,0.0040982849997817,2.902222222222222
test_000_1003,online,500.0,0,2,0.2953549517966696,0.0255915863277826,0.024715162138475,0.2450482033304119,0.5290571150554737,0.2720763723150358,0.2266750156543519,0.0226117440841367,5.0,5.0,0.0,500.0,500.0,500.0,500.0,228.0,0.7579908675799086,60.0,0.0231348637015781,0.0457745000021532,0.0357831000001169,0.0948619999981019,0.0015810333333016,2.881578947368421
test_000_1004,online,500.0,0,2,0.3278870558375634,0.1153236040609137,0.0115799492385786,0.200983502538071,0.6266978705841664,0.2344195519348269,0.2342342342342342,0.1105647208121827,4.0,5.0,1.0,500.0,500.0,500.0,500.0,226.0,0.7925531914893617,60.0,0.1243088995897984,0.0391590999788604,0.0286949999863281,0.0811274999578017,0.0013521249992966,2.911504424778761
test_000_1005,online,500.0,0,2,0.2685500340367597,0.0660313138189244,0.0233151803948264,0.1792035398230088,0.5870374760836172,0.2289041618938526,0.1636240703177822,0.05428863172226,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.8217821782178217,60.0,0.057405074680583,0.0406806000100914,0.055772399995476,0.1101299000147264,0.0018354983335787,2.8844444444444446
test_000_1006,online,500.0,0,2,0.1889316167864905,0.0822604915565958,0.018558769436549,0.0881123557933456,0.306179931065082,0.1319866640517748,0.0657521286660359,0.0737334893830463,5.0,5.0,0.0,500.0,500.0,500.0,500.0,224.0,0.9123711340206184,60.0,0.0796028880866425,0.3782753999985289,0.0533249000145588,0.4480223000282421,0.007467038333804,2.8660714285714284
test_000_1007,online,500.0,0,2,0.3192657402641962,0.0718819694630296,0.0283067421513124,0.2190770286498541,0.5200357246546145,0.2922500492999408,0.2573614653373522,0.0650197289414994,2.0,3.0,1.0,500.0,500.0,500.0,500.0,223.0,0.745,60.0,0.0695412844036697,0.0577117000066209,0.0450411000056192,0.1287459000304807,0.002145765000508,2.8430493273542603
test_000_1008,online,500.0,0,2,0.0799169693824597,0.0477426050856253,0.0164331430548348,0.0157412212419996,0.0974145330101448,0.0430856067732831,0.0110966057441253,0.0403044455976474,2.0,2.0,0.0,500.0,500.0,500.0,500.0,224.0,0.985645933014354,60.0,0.0419971160778658,0.7444991999946069,0.0744091999949887,0.8364482999895699,0.0139408049998261,2.9017857142857144
test_000_1009,online,500.0,0,2,0.3895058747786898,0.0928697891517785,0.0143248028327699,0.2823112827941413,0.7061859612347114,0.3295785589434841,0.3240113611535941,0.0856269113149847,3.0,2.0,-1.0,500.0,500.0,500.0,500.0,229.0,0.694300518134715,60.0,0.0936454849498327,0.32549679998192,0.0568455000175163,0.4057129000138957,0.0067618816668982,2.938864628820961
test_000_1010,online,500.0,0,2,0.2757777001048584,0.0527787486892694,0.018350227193289,0.2046487242222999,0.472080052884122,0.2509520182787509,0.206016013849816,0.0410695560992659,5.0,6.0,1.0,500.0,500.0,500.0,500.0,221.0,0.7777777777777778,60.0,0.0428285037361035,0.518043200019747,0.0442240000120364,0.5796602000191342,0.0096610033336522,2.8642533936651584
test_000_1011,online,500.0,0,2,0.1963712267180475,0.0855812459858702,0.0208734746307,0.0899165061014772,0.5349728204697589,0.0981524249422632,0.1152147731834604,0.0828516377649325,3.0,3.0,0.0,500.0,500.0,500.0,500.0,233.0,0.9166666666666666,60.0,0.0903361344537815,0.5537875999871176,0.0606587000074796,0.6340070999867748,0.0105667849997795,2.918454935622317
test_000_1012,online,500.0,0,2,0.5210148250038209,0.1242549289316827,0.0221610881858474,0.3745988078862907,0.8962951715760705,0.5277161862527716,0.4891041162227603,0.1208925569310713,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,235.0,0.5106382978723404,60.0,0.1375173852573018,0.6244864000182133,0.0793078999849967,0.7206965999794193,0.0120116099996569,2.970212765957447
test_000_1013,online,500.0,0,2,0.1456529269137513,0.0481468652580533,0.0223415310010391,0.0751645306546588,0.5094906845637464,0.1072380952380952,0.0577422145328719,0.0453758226532732,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.9230769230769232,60.0,0.047532656023222,0.2165394999901764,0.0446917000226676,0.2775958000274841,0.0046265966671247,2.9066666666666667
test_000_1014,online,500.0,0,2,0.281066497381368,0.0968100301539438,0.0172988414537375,0.1669576257736867,1.177440437011339,0.1525224872897927,0.1103747714808043,0.094588160609427,5.0,6.0,1.0,500.0,500.0,500.0,500.0,232.0,0.8963730569948186,60.0,0.1035933391761612,0.0892193000181578,0.080313800019212,0.1911450000188779,0.0031857500003146,2.8663793103448274
test_000_1015,online,500.0,0,2,0.1614875191034131,0.0485651214128035,0.0249617931737137,0.0879606045168959,0.1514448147105265,0.1107801154347421,0.0466835656949725,0.0439803022584479,3.0,6.0,3.0,500.0,500.0,500.0,500.0,230.0,0.9154929577464788,60.0,0.0460035523978685,0.0750783999974373,0.0390194999927189,0.1283114000107161,0.0021385233335119,2.878260869565217
test_000_1016,online,500.0,0,2,0.2187910643889619,0.0905059132720105,0.0226675427069645,0.1056176084099868,0.2162456144299055,0.1250981932443048,0.0983202687569988,0.0818002628120893,4.0,6.0,2.0,500.0,500.0,500.0,500.0,227.0,0.914572864321608,60.0,0.089087656529517,0.0412063999974634,0.0409307999943848,0.0941826000052969,0.0015697100000882,2.845814977973568
test_000_1017,online,500.0,0,2,0.2410332346166502,0.0771635406383678,0.02319842053307,0.1406712734452122,0.2689988069869715,0.1801456496742046,0.0958743553680262,0.0707469562356038,4.0,7.0,3.0,500.0,500.0,500.0,500.0,230.0,0.875,60.0,0.0761331444759206,0.0416024000151082,0.0366886999981943,0.0919753000198397,0.0015329216669973,2.8217391304347825
test_000_1018,online,500.0,0,2,0.2768965517241379,0.0667241379310344,0.0236206896551724,0.186551724137931,0.2737709970719679,0.21044365920691,0.0726410384423364,0.0608620689655172,2.0,4.0,2.0,500.0,500.0,500.0,500.0,222.0,0.83,60.0,0.0648063154029741,0.0413174999994225,0.0388406999991275,0.0932709999906364,0.0015545166665106,2.779279279279279
test_000_1019,online,500.0,0,2,0.2779015943768215,0.0560603463055031,0.0204011657809017,0.2014400822904166,0.5356753029174846,0.2538476154284628,0.2229580573951435,0.0488599348534201,4.0,3.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.7666666666666667,60.0,0.0513698630136986,0.0445531000150367,0.0368173999886494,0.0962935999850742,0.0016048933330845,2.893333333333333
test_000_1020,online,500.0,0,2,0.4126637554585153,0.0935505542492442,0.0298958683238159,0.2892173328854551,0.7260730593706763,0.3886868686868687,0.3020167240531234,0.0843130668458179,4.0,4.0,0.0,500.0,500.0,500.0,500.0,223.0,0.6596858638743456,60.0,0.0920763022743947,0.0393794999981764,0.0379511000064667,0.0916141000052448,0.001526901666754,2.8520179372197307
test_000_1021,online,500.0,0,2,0.3953074433656958,0.1111650485436893,0.0132686084142394,0.270873786407767,0.6011260245377761,0.3147924224103184,0.3240197229396572,0.0985436893203883,5.0,5.0,0.0,500.0,500.0,500.0,500.0,223.0,0.7297297297297297,60.0,0.1093161012385568,0.045086900005117,0.0363533000054303,0.089573700010078,0.0014928950001679,2.896860986547085
test_000_1022,online,500.0,0,2,0.6154770075497598,0.0427247769389155,0.0250514756348661,0.547700754975978,0.9510291734327894,0.6186219739292365,0.5739773716275022,0.039293067947838,5.0,3.0,-2.0,500.0,500.0,500.0,500.0,229.0,0.4075829383886256,60.0,0.0409001607429898,0.0396107999840751,0.0351961000123992,0.0832759999902919,0.0013879333331715,2.921397379912664
test_000_1023,online,500.0,0,2,0.4050592885375494,0.1141501976284585,0.0232411067193675,0.2676679841897233,0.698080739268705,0.3699775647562717,0.3300189393939394,0.1124110671936758,5.0,4.0,-1.0,500.0,500.0,500.0,500.0,230.0,0.6648648648648648,60.0,0.1266476665479159,0.0440742000064346,0.0414044999924954,0.098819699982414,0.0016469949997069,2.9217391304347826
test_000_1000,online,1000.0,0,4,0.1808385250042094,0.0756019531907728,0.0227310995117023,0.0825054723017343,0.1810640762787526,0.0865328396024166,0.0621727748691099,0.0680249200202054,3.0,4.0,1.0,1000.0,1000.0,1000.0,1000.0,225.0,0.964824120603015,60.0,0.0729900632339656,2.622529700020096,0.1113318999996408,2.754109600035008,0.0459018266672501,4.662222222222222
test_000_1001,online,1000.0,0,4,0.3087490961677512,0.064172089660159,0.0448300795372378,0.1997469269703543,0.3135966354214322,0.2490923759580476,0.1182913472070098,0.051879971077368,3.0,6.0,3.0,1000.0,1000.0,1000.0,1000.0,217.0,0.8080808080808081,60.0,0.0547187797902764,2.1565550999948755,0.0900155999988783,2.2652477999799885,0.0377541299996664,4.059907834101383
