recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size,extra_k_estimated
test_000_1010,online,0.0,0,0,0.1791331702202027,0.0527787486892694,0.018350227193289,0.1080041943376441,0.2727299375677119,0.1475628332063975,0.0843973165981389,0.0410695560992659,5.0,5.0,0.0,0.0,0.0,0.0,0.0,221.0,0.8840579710144928,60.0,0.0428285037361035,0.1941203000023961,0.0372931000019889,0.2548819000076037,0.0042480316667933,1.0,
test_000_1011,online,0.0,0,0,0.2329800899165061,0.0855812459858702,0.0208734746307,0.1265253692999357,0.6464980171299742,0.1412625096227867,0.144118827780008,0.0828516377649325,3.0,3.0,0.0,0.0,0.0,0.0,0.0,233.0,0.8823529411764706,60.0,0.0903361344537815,0.1101605999865569,0.0413916000106837,0.176980199990794,0.0029496699998465,1.0,
test_000_1012,online,0.0,0,0,0.3423506036986092,0.1242549289316827,0.0221610881858474,0.195934586581079,0.4737956971664837,0.2920782100382987,0.2507153863086066,0.1208925569310713,2.0,3.0,1.0,0.0,0.0,0.0,0.0,235.0,0.7553191489361702,60.0,0.1375173852573018,0.0627925999870058,0.0851360000087879,0.1743272999883629,0.002905454999806,1.0,
test_000_1013,online,0.0,0,0,0.1783858676827156,0.0481468652580533,0.0223415310010391,0.1078974714236231,0.5233951969735274,0.1432380952380952,0.0821799307958477,0.0453758226532732,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.8846153846153846,60.0,0.047532656023222,0.1722372000222094,0.0393690000055357,0.2363170000026002,0.00393861666671,1.0,
test_000_1014,online,0.0,0,0,0.251071258530392,0.0968100301539438,0.0172988414537375,0.1369623869227106,0.5324458512776162,0.1591709034024247,0.0941499085923217,0.094588160609427,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,232.0,0.8911917098445595,60.0,0.1035933391761612,0.1099405999993905,0.0453717999916989,0.1817746000015176,0.0030295766666919,1.0,
test_000_1015,online,0.0,0,0,0.249617931737137,0.0485651214128035,0.0249617931737137,0.1760910171506198,0.2500499567763299,0.2144851982870973,0.1485002112378538,0.0439803022584479,3.0,7.0,4.0,0.0,0.0,0.0,0.0,230.0,0.8215962441314554,60.0,0.0460035523978685,0.0563025000155903,0.0361325000121723,0.1135089000454172,0.0018918150007569,1.0,
test_000_1016,online,0.0,0,0,0.2439224704336399,0.0905059132720105,0.0226675427069645,0.1307490144546649,0.2830000718658934,0.1804791830322074,0.1193729003359462,0.0818002628120893,4.0,6.0,2.0,0.0,0.0,0.0,0.0,227.0,0.864321608040201,60.0,0.089087656529517,0.0531539999938104,0.0327366999990772,0.1092238999844994,0.0018203983330749,1.0,
test_000_1017,online,0.0,0,0,0.4302402105955906,0.0771635406383678,0.02319842053307,0.3298782494241526,0.6734930602667627,0.4095438865465696,0.3326300984528832,0.0707469562356038,4.0,6.0,2.0,0.0,0.0,0.0,0.0,230.0,0.64,60.0,0.0761331444759206,0.0550264999910723,0.0265971999906469,0.1044079999846872,0.0017401333330781,1.0,
test_000_1018,online,0.0,0,0,0.2972413793103448,0.0667241379310344,0.0236206896551724,0.2068965517241379,0.3058104979176536,0.2546132705143306,0.1303045431852221,0.0608620689655172,2.0,3.0,1.0,0.0,0.0,0.0,0.0,222.0,0.785,60.0,0.0648063154029741,0.0526862999831792,0.0242489000083878,0.0965888999926392,0.0016098149998773,1.0,
test_000_1019,online,0.0,0,0,0.4433396194068232,0.0560603463055031,0.0204011657809017,0.3668781073204183,0.8787633956216421,0.3974919247577427,0.3768813967489464,0.0488599348534201,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.6333333333333333,60.0,0.0513698630136986,0.0548873999796342,0.0357606000034138,0.1136157999862916,0.0018935966664381,1.0,
test_000_1020,online,0.0,0,0,0.4912663755458515,0.0935505542492442,0.0298958683238159,0.3678199529727914,0.8468468468468469,0.4682828282828283,0.38293162813576,0.0843130668458179,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,223.0,0.581151832460733,60.0,0.0920763022743947,0.0540689000044949,0.0347015000006649,0.1103563999931793,0.0018392733332196,1.0,
test_000_1021,online,0.0,0,0,0.2056634304207119,0.1111650485436893,0.0132686084142394,0.0812297734627831,0.2878232867083201,0.1223297057638049,0.0911011974641934,0.0985436893203883,5.0,5.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9297297297297298,60.0,0.1093161012385568,0.0533586000092327,0.028896599978907,0.1057174999732524,0.0017619583328875,1.0,
test_000_1022,online,0.0,0,0,0.6240562800274537,0.0427247769389155,0.0250514756348661,0.5562800274536719,0.9756687943890696,0.6279329608938548,0.5828981723237598,0.039293067947838,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,229.0,0.3981042654028436,60.0,0.0409001607429898,0.0534801000030711,0.0359248000022489,0.1116034000006038,0.0018600566666767,1.0,
test_000_1023,online,0.0,0,0,0.3682213438735178,0.1141501976284585,0.0232411067193675,0.2308300395256917,0.6365949117618832,0.308178666122782,0.2464488636363636,0.1124110671936758,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,230.0,0.7297297297297297,60.0,0.1266476665479159,0.0530780999979469,0.0388993000087793,0.1131532000144943,0.0018858866669082,1.0,
test_000_1000,online,125.0,0,0,0.1542347196497727,0.0756019531907728,0.0227310995117023,0.0559016669472975,0.2329038545909063,0.0997856168388228,0.0589005235602094,0.0680249200202054,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.9447236180904522,60.0,0.0729900632339656,0.0922070999804418,0.032013599993661,0.1464262999652419,0.002440438332754,1.0,
test_000_1001,online,125.0,0,0,0.2744034707158351,0.064172089660159,0.0448300795372378,0.1654013015184381,0.3911020053063143,0.2349737797498991,0.1056955093099671,0.051879971077368,3.0,5.0,2.0,0.0,0.0,0.0,0.0,217.0,0.8333333333333334,60.0,0.0547187797902764,0.1249377999920398,0.1657143000047654,0.3644740000017918,0.0060745666666965,1.0,
test_000_1002,online,125.0,0,0,0.4073102483385799,0.0431969220006995,0.0269324938789786,0.3371808324589017,0.8048341047284019,0.384904243334585,0.3153396311291048,0.0342777194823364,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.6523809523809524,60.0,0.0354943860919956,1.0772130999830551,0.0452898999792523,1.1476160999736749,0.0191269349995612,1.0,
test_000_1003,online,125.0,0,0,0.3307624890446976,0.0255915863277826,0.024715162138475,0.2804557405784399,0.6192839478622693,0.3185239581420965,0.2552702984763097,0.0226117440841367,5.0,5.0,0.0,0.0,0.0,0.0,0.0,228.0,0.7077625570776256,60.0,0.0231348637015781,0.0800346999894827,0.0488211999763734,0.1518474999757018,0.0025307916662616,1.0,
test_000_1004,online,125.0,0,0,0.3304251269035533,0.1153236040609137,0.0115799492385786,0.2035215736040609,0.6175001788360335,0.2604887983706721,0.252037752037752,0.1105647208121827,4.0,4.0,0.0,0.0,0.0,0.0,0.0,226.0,0.7606382978723404,60.0,0.1243088995897984,0.06670190001023,0.0343601999920792,0.1235611000156495,0.0020593516669274,1.0,
test_000_1005,online,125.0,0,0,0.2830156569094622,0.0660313138189244,0.0233151803948264,0.1936691626957113,0.4176902969233007,0.2535318823978618,0.1751183231913455,0.05428863172226,5.0,6.0,1.0,0.0,0.0,0.0,0.0,225.0,0.7871287128712872,60.0,0.057405074680583,0.0552471999835688,0.0372513000038452,0.115383299998939,0.0019230549999823,1.0,
test_000_1006,online,125.0,0,0,0.2573148302959371,0.0822604915565958,0.018558769436549,0.1564955693027921,0.4149261444568796,0.2055304961757207,0.1208609271523178,0.0737334893830463,5.0,6.0,1.0,0.0,0.0,0.0,0.0,224.0,0.845360824742268,60.0,0.0796028880866425,0.0746642000158317,0.0373540000000502,0.1342238000361248,0.0022370633339354,1.0,
test_000_1007,online,125.0,0,0,0.3621547435237605,0.0718819694630296,0.0283067421513124,0.2619660319094184,0.606388658749885,0.3415499901400118,0.2868073266867609,0.0650197289414994,2.0,3.0,1.0,0.0,0.0,0.0,0.0,223.0,0.705,60.0,0.0695412844036697,0.0670838000078219,0.035419499996351,0.1255068000173196,0.0020917800002886,1.0,
test_000_1008,online,125.0,0,0,0.1184916104480193,0.0477426050856253,0.0164331430548348,0.0543158623075592,0.1769395872164441,0.0850423330197554,0.0267624020887728,0.0403044455976474,2.0,2.0,0.0,0.0,0.0,0.0,0.0,224.0,0.9473684210526316,60.0,0.0419971160778658,0.0667363999818917,0.0336206000065431,0.1215104000002611,0.0020251733333376,1.0,
test_000_1009,online,125.0,0,0,0.4199259616932239,0.0928697891517785,0.0143248028327699,0.3127313697086754,0.7647316985357993,0.3732763643425908,0.332532226349137,0.0856269113149847,3.0,3.0,0.0,0.0,0.0,0.0,0.0,229.0,0.6580310880829016,60.0,0.0936454849498327,0.0621245999936945,0.0396949000132735,0.1231203000061214,0.002052005000102,1.0,
test_000_1010,online,125.0,0,0,0.1791331702202027,0.0527787486892694,0.018350227193289,0.1080041943376441,0.2727299375677119,0.1475628332063975,0.0843973165981389,0.0410695560992659,5.0,5.0,0.0,0.0,0.0,0.0,0.0,221.0,0.8840579710144928,60.0,0.0428285037361035,0.0621198000153526,0.0418770999822299,0.1265241000219248,0.0021087350003654,1.0,
test_000_1011,online,125.0,0,0,0.2329800899165061,0.0855812459858702,0.0208734746307,0.1265253692999357,0.6464980171299742,0.1412625096227867,0.144118827780008,0.0828516377649325,3.0,3.0,0.0,0.0,0.0,0.0,0.0,233.0,0.8823529411764706,60.0,0.0903361344537815,0.0594610999978613,0.0590603000018745,0.1458353999769315,0.0024305899996155,1.0,
test_000_1012,online,125.0,0,0,0.3423506036986092,0.1242549289316827,0.0221610881858474,0.195934586581079,0.4737956971664837,0.2920782100382987,0.2507153863086066,0.1208925569310713,2.0,3.0,1.0,0.0,0.0,0.0,0.0,235.0,0.7553191489361702,60.0,0.1375173852573018,0.0620772000111173,0.0459155999997165,0.1353154999960679,0.0022552583332677,1.0,
test_000_1013,online,125.0,0,0,0.1783858676827156,0.0481468652580533,0.0223415310010391,0.1078974714236231,0.5233951969735274,0.1432380952380952,0.0821799307958477,0.0453758226532732,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.8846153846153846,60.0,0.047532656023222,0.0663349999813363,0.0491979000216815,0.1408544000005349,0.0023475733333422,1.0,
test_000_1014,online,125.0,0,0,0.251071258530392,0.0968100301539438,0.0172988414537375,0.1369623869227106,0.5324458512776162,0.1591709034024247,0.0941499085923217,0.094588160609427,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,232.0,0.8911917098445595,60.0,0.1035933391761612,0.0656007999787107,0.0399080000061076,0.1275813999818638,0.0021263566663643,1.0,
test_000_1015,online,125.0,0,0,0.249617931737137,0.0485651214128035,0.0249617931737137,0.1760910171506198,0.2500499567763299,0.2144851982870973,0.1485002112378538,0.0439803022584479,3.0,7.0,4.0,0.0,0.0,0.0,0.0,230.0,0.8215962441314554,60.0,0.0460035523978685,0.0577432999853044,0.0372623000002931,0.1208032999711576,0.0020133883328526,1.0,
test_000_1016,online,125.0,0,0,0.2439224704336399,0.0905059132720105,0.0226675427069645,0.1307490144546649,0.2830000718658934,0.1804791830322074,0.1193729003359462,0.0818002628120893,4.0,6.0,2.0,0.0,0.0,0.0,0.0,227.0,0.864321608040201,60.0,0.089087656529517,0.0659149999846704,0.0420141000067815,0.1322518999804742,0.0022041983330079,1.0,
test_000_1017,online,125.0,0,0,0.4302402105955906,0.0771635406383678,0.02319842053307,0.3298782494241526,0.6734930602667627,0.4095438865465696,0.3326300984528832,0.0707469562356038,4.0,6.0,2.0,0.0,0.0,0.0,0.0,230.0,0.64,60.0,0.0761331444759206,0.0700844000093638,0.0433345999917946,0.1388663999969139,0.0023144399999485,1.0,
test_000_1018,online,125.0,0,0,0.2972413793103448,0.0667241379310344,0.0236206896551724,0.2068965517241379,0.3058104979176536,0.2546132705143306,0.1303045431852221,0.0608620689655172,2.0,3.0,1.0,0.0,0.0,0.0,0.0,222.0,0.785,60.0,0.0648063154029741,0.0639863999967929,0.0432243999966885,0.1311616000020876,0.0021860266667014,1.0,
test_000_1019,online,125.0,0,0,0.4433396194068232,0.0560603463055031,0.0204011657809017,0.3668781073204183,0.8787633956216421,0.3974919247577427,0.3768813967489464,0.0488599348534201,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.6333333333333333,60.0,0.0513698630136986,0.0612987999920733,0.043319699994754,0.1309399000019766,0.0021823316666996,1.0,
test_000_1020,online,125.0,0,0,0.4912663755458515,0.0935505542492442,0.0298958683238159,0.3678199529727914,0.8468468468468469,0.4682828282828283,0.38293162813576,0.0843130668458179,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,223.0,0.581151832460733,60.0,0.0920763022743947,0.0618830999883357,0.0424695000110659,0.128252299997257,0.0021375383332876,1.0,
test_000_1021,online,125.0,0,0,0.2056634304207119,0.1111650485436893,0.0132686084142394,0.0812297734627831,0.2878232867083201,0.1223297057638049,0.0911011974641934,0.0985436893203883,5.0,5.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9297297297297298,60.0,0.1093161012385568,0.0619675999914761,0.0448625999852083,0.1448423999827355,0.0024140399997122,1.0,
test_000_1022,online,125.0,0,0,0.6240562800274537,0.0427247769389155,0.0250514756348661,0.5562800274536719,0.9756687943890696,0.6279329608938548,0.5828981723237598,0.039293067947838,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,229.0,0.3981042654028436,60.0,0.0409001607429898,0.1509132999926805,0.0486680000030901,0.2218842000002041,0.0036980700000034,1.0,
test_000_1023,online,125.0,0,0,0.3682213438735178,0.1141501976284585,0.0232411067193675,0.2308300395256917,0.6365949117618832,0.308178666122782,0.2464488636363636,0.1124110671936758,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,230.0,0.7297297297297297,60.0,0.1266476665479159,0.4189308000204619,0.0562498999934177,0.4989900999935344,0.0083165016665589,1.0,
test_000_1000,online,250.0,0,1,0.1379020037043273,0.0756019531907728,0.0227310995117023,0.0395689510018521,0.1952839324569928,0.0808809198986552,0.0510471204188481,0.0680249200202054,3.0,3.0,0.0,250.0,250.0,250.0,250.0,225.0,0.964824120603015,60.0,0.0729900632339656,0.0976244999910704,0.0457198999938555,0.1685557999880984,0.0028092633331349,1.968888888888889,
test_000_1001,online,250.0,0,1,0.2118582791033984,0.064172089660159,0.0448300795372378,0.1028561099060014,0.2877076491794821,0.1651875756353368,0.0364184008762322,0.051879971077368,3.0,5.0,2.0,250.0,250.0,250.0,250.0,217.0,0.898989898989899,60.0,0.0547187797902764,0.3501912000065204,0.0770501999941188,0.4487675999989733,0.0074794599999828,1.9308755760368663,
test_000_1002,online,250.0,0,1,0.5806225953130465,0.0431969220006995,0.0269324938789786,0.5104931794333684,1.0765507744870668,0.5743522343221931,0.5166441745389114,0.0342777194823364,3.0,2.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.4619047619047619,60.0,0.0354943860919956,0.1597715000098105,0.1497281999909319,0.3761745999800041,0.0062695766663334,1.9644444444444444,
test_000_1003,online,250.0,0,1,0.2711656441717791,0.0255915863277826,0.024715162138475,0.2208588957055214,0.4847351148503527,0.2561042775839912,0.211229388436652,0.0226117440841367,5.0,5.0,0.0,250.0,250.0,250.0,250.0,228.0,0.771689497716895,60.0,0.0231348637015781,0.1125481000053696,0.0530092999979388,0.1899760000233072,0.0031662666670551,1.9649122807017545,
test_000_1004,online,250.0,0,1,0.3136104060913706,0.1153236040609137,0.0115799492385786,0.1867068527918781,0.5851037071565288,0.235030549898167,0.2288717288717288,0.1105647208121827,4.0,4.0,0.0,250.0,250.0,250.0,250.0,226.0,0.7872340425531915,60.0,0.1243088995897984,0.0702963000221643,0.0563341999950353,0.1486398000270128,0.0024773300004502,1.9690265486725664,
test_000_1005,online,250.0,0,1,0.1691626957113682,0.0660313138189244,0.0233151803948264,0.0798162014976174,0.2425015999148509,0.1195112638411607,0.0640072120802344,0.05428863172226,5.0,6.0,1.0,250.0,250.0,250.0,250.0,225.0,0.9356435643564356,60.0,0.057405074680583,0.0657218999986071,0.0536006999900564,0.1444427999958861,0.0024073799999314,1.96,
test_000_1006,online,250.0,0,1,0.2133422504597893,0.0822604915565958,0.018558769436549,0.1125229894666443,0.3277322872170639,0.1533634045891351,0.0799432355723746,0.0737334893830463,5.0,6.0,1.0,250.0,250.0,250.0,250.0,224.0,0.8969072164948454,60.0,0.0796028880866425,0.0634443000017199,0.052802199992584,0.139603999996325,0.002326733333272,1.9598214285714288,
test_000_1007,online,250.0,0,1,0.3501458226110825,0.0718819694630296,0.0283067421513124,0.2499571109967404,0.5867392135619145,0.327746006704792,0.2800834685833526,0.0650197289414994,2.0,3.0,1.0,250.0,250.0,250.0,250.0,223.0,0.715,60.0,0.0695412844036697,0.0714331000053789,0.0579193000157829,0.1529784000304062,0.0025496400005067,1.9417040358744395,
test_000_1008,online,250.0,0,1,0.0882200311364815,0.0477426050856253,0.0164331430548348,0.0240442829960214,0.114214285627326,0.0521166509877704,0.0130548302872062,0.0403044455976474,2.0,2.0,0.0,250.0,250.0,250.0,250.0,224.0,0.9808612440191388,60.0,0.0419971160778658,0.0598256999801378,0.0534449000260792,0.1371458999929018,0.0022857649998816,1.9642857142857144,
test_000_1009,online,250.0,0,1,0.4197650088524062,0.0928697891517785,0.0143248028327699,0.3125704168678577,0.7647368352482499,0.3730821518741503,0.3351540310246886,0.0856269113149847,3.0,3.0,0.0,250.0,250.0,250.0,250.0,229.0,0.6580310880829016,60.0,0.0936454849498327,0.0818697999930009,0.0529662999906577,0.1586083999718539,0.0026434733328642,1.9781659388646289,
test_000_1010,online,250.0,0,1,0.1578119538622859,0.0527787486892694,0.018350227193289,0.0866829779797273,0.2380492704531349,0.1243335872048743,0.0664358363990478,0.0410695560992659,5.0,5.0,0.0,250.0,250.0,250.0,250.0,221.0,0.9082125603864736,60.0,0.0428285037361035,0.0622103000059723,0.0513530999887734,0.137140199978603,0.0022856699996433,1.95475113122172,
test_000_1011,online,250.0,0,1,0.2146756583172768,0.0855812459858702,0.0208734746307,0.1082209377007064,0.5973461824751288,0.1170130869899923,0.1304696908871939,0.0828516377649325,3.0,3.0,0.0,250.0,250.0,250.0,250.0,233.0,0.9019607843137256,60.0,0.0903361344537815,0.063917899999069,0.0531574999913573,0.1401880999910645,0.0023364683331844,1.9742489270386263,
test_000_1012,online,250.0,0,1,0.3233990524224362,0.1242549289316827,0.0221610881858474,0.176983035304906,0.4512655282767642,0.2670832493448901,0.2344265903587937,0.1208925569310713,2.0,3.0,1.0,250.0,250.0,250.0,250.0,235.0,0.7712765957446809,60.0,0.1375173852573018,0.0680373000213876,0.0501940999820362,0.1404953000019304,0.0023415883333655,1.987234042553192,
test_000_1013,online,250.0,0,1,0.1572566678212677,0.0481468652580533,0.0223415310010391,0.0867682715621752,0.4998096407776229,0.12,0.0642301038062283,0.0453758226532732,5.0,4.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.908653846153846,60.0,0.047532656023222,0.0660340999893378,0.0554991000099107,0.1474798000126611,0.0024579966668776,1.96,
test_000_1014,online,250.0,0,1,0.259958736708459,0.0968100301539438,0.0172988414537375,0.1458498651007776,1.093332596280956,0.1517403206883066,0.1044332723948811,0.094588160609427,5.0,5.0,0.0,250.0,250.0,250.0,250.0,232.0,0.8963730569948186,60.0,0.1035933391761612,0.0677906000055372,0.0606992999964859,0.1516731999872718,0.0025278866664545,1.9655172413793105,
test_000_1015,online,250.0,0,1,0.1692986924775004,0.0485651214128035,0.0249617931737137,0.0957717778909831,0.1662125582210973,0.1189722584248743,0.0515420363329108,0.0439803022584479,3.0,7.0,4.0,250.0,250.0,250.0,250.0,230.0,0.9154929577464788,60.0,0.0460035523978685,0.0622638000058941,0.0535226000065449,0.1400120000180322,0.0023335333336338,1.9695652173913043,
test_000_1016,online,250.0,0,1,0.3416557161629435,0.0905059132720105,0.0226675427069645,0.2284822601839684,0.5376455009450638,0.2898664571877455,0.2524076147816349,0.0818002628120893,4.0,6.0,2.0,250.0,250.0,250.0,250.0,227.0,0.7487437185929648,60.0,0.089087656529517,0.0608731999818701,0.0490529999951832,0.1329165999777615,0.002215276666296,1.960352422907489,
test_000_1017,online,250.0,0,1,0.2502467917077986,0.0771635406383678,0.02319842053307,0.1498848305363606,0.2786797491177711,0.1926025297048677,0.1031411157993436,0.0707469562356038,4.0,7.0,3.0,250.0,250.0,250.0,250.0,230.0,0.865,60.0,0.0761331444759206,0.074854000005871,0.050778300006641,0.1489069999952335,0.0024817833332538,1.965217391304348,
test_000_1018,online,250.0,0,1,0.3070689655172414,0.0667241379310344,0.0236206896551724,0.2167241379310344,0.2952824723320947,0.2461719670200235,0.1115826260609086,0.0608620689655172,2.0,4.0,2.0,250.0,250.0,250.0,250.0,222.0,0.795,60.0,0.0648063154029741,0.0649478000123053,0.0484502000035718,0.1363381000119261,0.0022723016668654,1.954954954954955,
test_000_1019,online,250.0,0,1,0.4476255786044917,0.0560603463055031,0.0204011657809017,0.3711640665180867,0.8874216225295898,0.3974919247577427,0.3818984547461369,0.0488599348534201,4.0,3.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.6333333333333333,60.0,0.0513698630136986,0.0574789000093005,0.0500456999870948,0.1305269000004045,0.00217544833334,1.96,
test_000_1020,online,250.0,0,1,0.4346657709103124,0.0935505542492442,0.0298958683238159,0.3112193483372523,0.7045404041018077,0.4008080808080808,0.3307919331037875,0.0843130668458179,4.0,3.0,-1.0,250.0,250.0,250.0,250.0,223.0,0.6492146596858639,60.0,0.0920763022743947,0.0575537999975495,0.0474725000094622,0.1275174000184051,0.0021252900003067,1.9506726457399104,
test_000_1021,online,250.0,0,1,0.1770226537216828,0.1111650485436893,0.0132686084142394,0.052588996763754,0.2267577084205914,0.0916968964127368,0.0702042733035924,0.0985436893203883,5.0,5.0,0.0,250.0,250.0,250.0,250.0,223.0,0.9567567567567568,60.0,0.1093161012385568,0.0602284999913536,0.0509245000139344,0.1363460999855306,0.0022724349997588,1.9641255605381165,
test_000_1022,online,250.0,0,1,0.6197666437886067,0.0427247769389155,0.0250514756348661,0.551990391214825,0.9694009030063268,0.6232774674115457,0.5794168842471714,0.039293067947838,5.0,3.0,-2.0,250.0,250.0,250.0,250.0,229.0,0.4028436018957346,60.0,0.0409001607429898,0.0621100999996997,0.0497353000100702,0.1371575999946799,0.0022859599999113,1.9694323144104804,
test_000_1023,online,250.0,0,1,0.3642687747035573,0.1141501976284585,0.0232411067193675,0.2268774703557312,0.6437446448279601,0.2955333469304507,0.25,0.1124110671936758,5.0,4.0,-1.0,250.0,250.0,250.0,250.0,230.0,0.7405405405405405,60.0,0.1266476665479159,0.0851625999785028,0.0574188000173307,0.1706941000011284,0.0028449016666854,1.9739130434782608,
test_000_1000,online,500.0,0,2,0.1458157939046977,0.0756019531907728,0.0227310995117023,0.0474827412022225,0.1742786344154374,0.0839992204248684,0.0582460732984293,0.0680249200202054,3.0,4.0,1.0,500.0,500.0,500.0,500.0,225.0,0.9547738693467336,60.0,0.0729900632339656,0.0990036000148393,0.0560908999759703,0.1782993999950122,0.0029716566665835,2.9066666666666667,
test_000_1001,online,500.0,0,2,0.1867317425885755,0.064172089660159,0.0448300795372378,0.0777295733911786,0.2198656200792454,0.1335215812827753,0.0249178532311062,0.051879971077368,3.0,5.0,2.0,500.0,500.0,500.0,500.0,217.0,0.9292929292929292,60.0,0.0547187797902764,0.0769528000091668,0.0576524999924004,0.1569851000094786,0.0026164183334913,2.774193548387097,
